District_Name;District_ID;CDU;SPD;GRÜNE;FDP;AfD;DIE LINKE;PIRA-TEN;NPD;Tier-schutz-partei;FREIE WÄHLER;ÖDP;MLPD;Tier-schutz-allianz;BGE;DiB;DKP;DM;DIE RECHTE;MENSCHLICHE WELT;Die PARTEI;V-Partei³
Wahlkreis275StadtMannheim;0;27,14769168;21,23624083;13,17447083;11,24555958;12,82834582;9,100845694;0,482753305;0,266950667;1,087421088;0,57874344;0,161851979;0,112105267;0,290072378;0,276759878;0,217904612;0,032230264;0,1681579;0,023121711;0,130322373;1,266088857;0,172361848
Innenstadt(011);10;20,42323817;17,92773009;18,02755041;13,75524057;9,16350569;13,85506089;0,718706329;0,119784388;0,798562587;0,439209423;0,29946097;0,159712517;0,159712517;0,598921941;0,379317229;0,059892194;0,239568776;0,039928129;0,259532841;2,355759633;0,219604712
Jungbusch/Mühlau(012);10;15,77217963;16,5388828;21,35815991;8,543263965;7,228915663;21,13910186;1,204819277;0,21905805;1,095290252;0,21905805;0;0,21905805;0,328587076;0,766703176;0,547645126;0,109529025;0,328587076;0;0,21905805;3,723986857;0,438116101
Innenstadt/JungbuschBW(019);10;26,1486649;17,0074573;20,37527063;16,28578302;5,171999038;9,67043541;0,45706038;0,120279047;0,793841713;0,553283618;0,216502285;0,264613904;0,168390666;0,45706038;0,312725523;0,048111619;0,096223238;0,024055809;0,120279047;1,347125331;0,360837142
Neckarstadt-West(021);20;15,26189043;20,8308248;15,32209512;5,990367249;12,6128838;20,04816376;1,294400963;0,361228176;1,264298615;0,511739916;0,180614088;0,331125828;0,15051174;0,963275135;0,30102348;0,030102348;0,15051174;0,060204696;0,210716436;3,73269115;0,391330524
Neckarstadt-WestBW(029);20;16,59863946;16,46258503;21,83673469;9,047619048;8,571428571;16,32653061;1,088435374;0,544217687;1,224489796;0,74829932;0,680272109;0,272108844;0,340136054;0,680272109;0,816326531;0;0,068027211;0;0,272108844;3,945578231;0,476190476
Neckarstadt-Ost(031);30;20,20887728;21,94516971;16,03133159;7,754569191;13,36814621;14,4386423;0,691906005;0,208877285;1,266318538;0,522193211;0,104438642;0,313315927;0,274151436;0,352480418;0,313315927;0,091383812;0,248041775;0,039164491;0,143603133;1,527415144;0,156657963
Wohlgelegen(032);30;19,51923077;23,75;12,30769231;6,538461538;15,67307692;13,65384615;0,673076923;0,576923077;1,153846154;1,057692308;0,288461538;0,576923077;0,769230769;0,576923077;0,384615385;0;0,288461538;0;0,288461538;1,923076923;0
Neckarstadt-Ost/WohlgelegenBW(039);30;26,15827976;21,68033695;16,13832853;10,52981601;9,59875859;10,59632011;0,509864775;0,022168034;1,064065617;0,465528708;0,17734427;0,110840168;0,221680337;0,443360674;0,199512303;0,155176236;0,17734427;0;0,199512303;1,219241853;0,332520505
Oststadt(041);41;26,28001812;16,17580426;17,87494336;17,26325329;8,699592207;10,17217943;0,339827821;0,022655188;0,589034889;0,339827821;0,203896692;0,090620752;0,135931128;0,339827821;0,158586316;0;0,045310376;0;0,135931128;0,974173086;0,158586316
