District_Name;District_ID;Lon;Lat
Innenstadt/Jungbusch;10;8.466033;49.487664
Neckarstadt-West;20;8.466757;49.501595
Neckarstadt-Ost;30;8.479452;49.496859
Oststadt;41;8.483248;49.483311
Schwetzingerstadt;42;8.478261;49.478243
Lindenhof;50;8.468874;49.469997
Sandhofen;60;8.448417;49.544324
Schönau;70;8.473385 ;49.544377
Waldhof;81;8.489008;49.523885
Gartenstadt;82;8.497723;49.529699
Luzenberg;83;8.478421 ;49.516124
Neuostheim;91;8.511252;49.479584
Neuhermsheim;92;8.505802;49.466614
Seckenheim;101;8.558403 ;49.464684
Hochstätt;102;8.536828;49.45508
Friedrichsfeld;110;8.576962;49.441938
Käfertal;120;8.511713;49.50919
Vogelstang;130;8.541326;49.510834
Wallstadt;140;8.54652 ;49.497147
Feudenheim;150;8.53045;49.486294
Neckarau;161;8.492194;49.455288
Niederfeld;162;8.473464;49.458759
Almenhof;163;8.483931 ;49.463375
Rheinau;170;8.528471;49.428533
